sample,origin,clone,subclone,subclone2,trans_site,rope,loc_grtn,age,age2,grtn,loc,bw_in,bw_fin,bw_chg,len_in,len_fin,len_chg,avg_len_chg,len_ct
272,M2,Orange,CN_R081,V17,M2,R_198,home_early,5y,5,early,home,1.28,1.8,0.52,3.67,4.22,0.55,0.55,0.15
271,M2,Blue,CN_R002,V27,M2,R_194,home_early,5y,5,early,home,1.77,2.15,0.38,3.99,4.09,0.1,0.1,0.03
270,M1,Green,I_177,V7,M2,R_194,away_early,7y,7,early,away,1.53,0.82,-0.71,3.37,3.27,-0.1,,-0.03
269,M1,Green,I_177,V7,M2,R_199,away_early,7y,7,early,away,1.2,1.35,0.15,3.52,4.33,0.81,,0.23
268,M1,Green,I_177,V7,M2,R_196,away_early,7y,7,early,away,2.31,3.78,1.47,5.08,5.96,0.88,0.53,0.17
267,M1,Pink,I_B29,V15,M2,R_197,away_late,3y,3,late,away,1.4,2.05,0.65,4.16,4.5,0.34,,0.08
266,M1,Pink,I_B29,V15,M2,R_200,away_late,3y,3,late,away,1.23,1.6,0.37,2.87,2.95,0.08,,0.03
265,M1,Pink,I_B29,V15,M2,R_193,away_late,3y,3,late,away,1.98,3.52,1.54,3.35,4.58,1.23,0.55,0.37
264,M1,Green,I_B25,V21,M2,R_194,away_early,5y,5,early,away,1.87,3.01,1.14,4.05,3.92,-0.13,,-0.03
263,M1,Green,I_B25,V21,M2,R_198,away_early,5y,5,early,away,1.98,3.16,1.18,4.12,4.5,0.38,,0.09
262,M1,Green,I_B25,V21,M2,R_193,away_early,5y,5,early,away,4.16,NA,NA,5.09,6.51,1.42,0.556666667,0.28
261,M1,Green,I_B41,V25,M2,R_198,away_late,3y,3,late,away,2.43,3.86,1.43,2.11,2.73,0.62,,0.29
260,M1,Green,I_B41,V25,M2,R_193,away_late,3y,3,late,away,1.97,3.32,1.35,2.52,4.26,1.74,,0.69
259,M1,Green,I_B41,V25,M2,R_197,away_late,3y,3,late,away,1.11,2.35,1.24,2.81,4.24,1.43,1.263333333,0.51
258,M1,Red,I_B78,V23,M2,R_198,away_late,3y,3,late,away,1.82,2.51,0.69,6.21,6.69,0.48,0.48,0.08
257,M1,Brown,I_B63,V1,M2,R_199,away_late,3y,3,late,away,1.91,2.08,0.17,6.37,5.76,-0.61,-0.61,-0.1
256,M1,Blue,I_94,V3,M2,R_197,away_early,5y,5,early,away,1.37,1.86,0.49,3.08,3.56,0.48,0.48,0.16
255,M1,Green,I_B32,V29,M2,R_196,away_late,3y,3,late,away,1.56,2.36,0.8,4.47,6.62,2.15,2.15,0.48
70,M2,Orange,CN_132,V24,M1,Y33,away_early,6y,6,early,away,2.18,6.61,4.43,3.89,7.67,3.78,,0.97
69,M2,Orange,CN_132,V24,M1,Y31,away_early,6y,6,early,away,2.61,5.43,2.82,5.53,8.1,2.57,,0.46
68,M2,Orange,CN_132,V24,M1,Y36,away_early,6y,6,early,away,2.01,5.23,3.22,4.32,7.43,3.11,3.153333333,0.72
66,M2,Orange,CN_R031,V22,M1,Y32,away_early,5y,5,early,away,3.77,5.22,1.45,6.06,6.9,0.84,,0.14
65,M2,Orange,CN_R031,V22,M1,Y35,away_early,5y,5,early,away,3.68,5.97,2.29,4.7,6.11,1.41,,0.3
64,M2,Orange,CN_R031,V22,M1,Y31,away_early,5y,5,early,away,1.05,2.85,1.8,3.82,5.72,1.9,1.383333333,0.5
63,M2,Orange,CN_168,V18,M1,Y34,away_early,7y,7,early,away,3.37,6.65,3.28,4.89,7.18,2.29,,0.47
62,M2,Orange,CN_168,V18,M1,Y37,away_early,7y,7,early,away,2.59,7.05,4.46,7.93,10.99,3.06,,0.39
61,M2,Orange,CN_168,V18,M1,Y33,away_early,7y,7,early,away,2.89,6.88,3.99,6.1,6.82,0.72,2.023333333,0.12
60,M2,Purple,CN_B43,V16,M1,Y34,away_late,3y,3,late,away,5.38,7.79,2.41,7.6,7.65,0.05,,0.01
59,M2,Purple,CN_B43,V16,M1,Y35,away_late,3y,3,late,away,3.79,4.87,1.08,7.96,8.22,0.26,,0.03
58,M2,Purple,CN_B43,V16,M1,Y31,away_late,3y,3,late,away,3.77,5.19,1.42,7.83,8.62,0.79,0.366666667,0.1
57,M2,Orange,CN_B77,V19,M1,Y36,away_early,5y,5,early,away,2.68,3.85,1.17,5.02,4.79,-0.23,,-0.05
56,M2,Orange,CN_B77,V19,M1,Y32,away_early,5y,5,early,away,2.18,3.68,1.5,3.76,5.42,1.66,,0.44
55,M2,Orange,CN_B77,V19,M1,Y37,away_early,5y,5,early,away,1.73,4.07,2.34,4.13,5.66,1.53,0.986666667,0.37
48,M2,Purple,CN_169,V30,M1,Y34,away_early,7y,7,early,away,2.02,3.11,1.09,5.45,6.9,1.45,,0.27
47,M2,Purple,CN_169,V30,M1,Y36,away_early,7y,7,early,away,3.06,4.5,1.44,5.28,6.88,1.6,,0.3
46,M2,Purple,CN_169,V30,M1,Y37,away_early,7y,7,early,away,0.96,2.16,1.2,3.66,6.21,2.55,1.866666667,0.7
45,M2,Pink,CN_R045,V12,M1,Y37,away_early,5y,5,early,away,1.42,2.41,0.99,4.09,4.7,0.61,,0.15
44,M2,Pink,CN_R045,V12,M1,Y31,away_early,5y,5,early,away,1.53,2.89,1.36,4.39,5.11,0.72,,0.16
254,M2,Pink,CN_R045,V12,M1,Y36,away_early,5y,5,early,away,2.38,4.23,1.85,5.28,6.93,1.65,0.993333333,0.31
253,M2,Pink,CN_R051,V11,M1,Y33,away_early,5y,5,early,away,0.9,1.7,0.8,2.48,4.31,1.83,,0.74
252,M2,Pink,CN_R051,V11,M1,Y36,away_early,5y,5,early,away,1.65,4.29,2.64,3.44,5.83,2.39,,0.69
251,M2,Pink,CN_R051,V11,M1,Y34,away_early,5y,5,early,away,2.37,4.03,1.66,4.39,5.92,1.53,1.916666667,0.35
250,M2,Purple,CN_W071_58,V20,M1,Y33,away_early,7y,7,early,away,0.83,2.15,1.32,4.07,6.64,2.57,,0.63
249,M2,Purple,CN_W071_58,V20,M1,Y35,away_early,7y,7,early,away,0.99,2.65,1.66,3.31,6.02,2.71,,0.82
248,M2,Purple,CN_W071_58,V20,M1,Y31,away_early,7y,7,early,away,1.32,3.2,1.88,3.64,6.72,3.08,2.786666667,0.85
247,M2,Blue,CN_R099_59,V32,M1,Y36,away_early,7y,7,early,away,3.57,6.33,2.76,4.25,5.96,1.71,,0.4
246,M2,Blue,CN_R099_59,V32,M1,Y31,away_early,7y,7,early,away,5.18,6.37,1.19,6.04,5.07,-0.97,,-0.16
245,M2,Blue,CN_R099_59,V32,M1,Y37,away_early,7y,7,early,away,5.53,9.99,4.46,5.26,8.02,2.76,1.166666667,0.52
244,M2,Orange,CN_W072,V8,M1,Y32,away_late,4y,4,late,away,2.08,5.26,3.18,5.05,7.18,2.13,,0.42
243,M2,Orange,CN_W072,V8,M1,Y31,away_late,4y,4,late,away,1.19,2.11,0.92,3.95,5.27,1.32,1.725,0.33
242,M2,Orange,CN_63,V31,M1,Y32,away_early,7y,7,early,away,1.4,3.35,1.95,3.7,6.44,2.74,,0.74
241,M2,Orange,CN_63,V31,M1,Y35,away_early,7y,7,early,away,1.55,2.51,0.96,4.88,6.33,1.45,2.095,0.3
240,M2,Orange,CN_W147,V9,M1,Y31,away_late,4y,4,late,away,1.96,3.86,1.9,4.74,6.66,1.92,,0.41
239,M2,Orange,CN_W147,V9,M1,Y35,away_late,4y,4,late,away,2.33,4.03,1.7,5.8,7.3,1.5,1.71,0.26
238,M2,Orange,CN_W073,V6,M1,Y32,away_early,7y,7,early,away,3.59,6.38,2.79,6.8,9.17,2.37,,0.35
237,M2,Orange,CN_W073,V6,M1,Y33,away_early,7y,7,early,away,4.18,10.6,6.42,7.58,11.65,4.07,3.22,0.54
236,M2,Pink,CN_R069,V2,M1,Y32,away_early,5y,5,early,away,0.78,1.41,0.63,3.42,5.68,2.26,,0.66
235,M2,Pink,CN_R069,V2,M1,Y36,away_early,5y,5,early,away,0.9,1.59,0.69,3.63,4.74,1.11,1.685,0.31
234,M2,Pink,CN_R048,V28,M1,Y32,away_early,5y,5,early,away,1.32,2.04,0.72,5.14,5.88,0.74,,0.14
233,M2,Pink,CN_R048,V28,M1,Y31,away_early,5y,5,early,away,0.69,1.58,0.89,3.2,5.12,1.92,1.33,0.6
232,M2,Red,CN_R096,V4,M1,Y35,away_late,4y,4,late,away,2.3,3.88,1.58,4.41,6.5,2.09,,0.47
231,M2,Red,CN_R096,V4,M1,Y37,away_late,4y,4,late,away,1.8,3.71,1.91,4.42,5.61,1.19,1.64,0.27
230,M2,Brown,CN_60,V13,M1,Y33,away_early,7y,7,early,away,2.64,4.75,2.11,4.82,5.71,0.89,,0.18
229,M2,Brown,CN_60,V13,M1,Y34,away_early,7y,7,early,away,2.89,3.76,0.87,4.95,6.38,1.43,1.16,0.29
228,M2,Red,CN_B6,V10,M1,Y34,away_late,3y,3,late,away,1.11,2.07,0.96,3.21,4.3,1.09,,0.34
227,M2,Red,CN_B6,V10,M1,Y36,away_late,3y,3,late,away,1.7,5.16,3.46,5,10.55,5.55,3.32,1.11
226,M2,Purple,CN_B1,V5,M1,Y33,away_late,3y,3,late,away,1.57,4.8,3.23,4.13,6.65,2.52,,0.61
225,M2,Purple,CN_B1,V5,M1,Y37,away_late,3y,3,late,away,3.43,5.09,1.66,7.14,9.31,2.17,2.345,0.3
224,M2,Purple,CN_203,V26,M1,Y37,away_early,7y,7,early,away,3.16,6.45,3.29,6.57,8.5,1.93,,0.29
223,M2,Purple,CN_203,V26,M1,Y34,away_early,7y,7,early,away,0.98,2.13,1.15,3.79,6.01,2.22,2.075,0.59
222,M2,Pink,CN_R049,V14,M1,Y33,away_early,5y,5,early,away,1.4,3.08,1.68,3.7,5.04,1.34,1.34,0.36
221,M2,Orange,CN_R081,V17,M1,Y32,away_early,5y,5,early,away,2.61,5.06,2.45,5.28,7.19,1.91,1.91,0.36
220,M2,Blue,CN_R002,V27,M1,Y36,away_early,5y,5,early,away,2.23,3.58,1.35,4.16,4.97,0.81,0.81,0.19
219,M1,Green,I_177,V7,M1,Y34,home_early,7y,7,early,home,2.68,3.44,0.76,6.48,1.75,-4.73,,-0.73
218,M1,Green,I_177,V7,M1,Y32,home_early,7y,7,early,home,2.3,4.8,2.5,4.1,6.58,2.48,,0.6
217,M1,Green,I_177,V7,M1,Y31,home_early,7y,7,early,home,1.4,2.8,1.4,3.97,6.54,2.57,0.106666667,0.65
